index,x,y,angle,score
0,1768,1681,-1.0,97.03633785247803
1,1783,561,46.99107360839844,90.19574522972107
2,1116,1474,295.63941192626953,85.28499007225037
3,816,871,35.85361099243164,84.974205493927
4,1364,739,1.5307629108428955,84.25119519233704
5,1859,1242,157.98867797851562,83.77366662025452
